                filename                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 user_corrections                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | status  
----------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------
 lad_001_carbon.png                     | Red brick checkered bacground (lighter and darker brick rkeds.rbowns). Grey hat with multoclored (red gold and white) logo in the center. dark brown eyes. medium skinned indian male. medium grey shirt. get lip color.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | edited
 lad_002_cash.png                       | black stunner shades with white refelction. Explain George Washingtons hair and style if you had to. light/medium pale green tone sfor skin and hair, all the way up to the white hair and medium tones in between with split hair style classic of his hair (describe it better htan this0. classic vintage revolutaion war era dark grey suit with light grey and white undergarments. bright neon green background                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | edited
 lad_003_chai.png                       | white furry bucket hat. no hair shown. get lip color. dark reddish brown eyes. medium indian male skin color. wearing a large overszied camoflaouged coloured hoodie. light light opale orange background.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | edited
 lad_004_silicon.png                    | pre industrial era british kid style portrait. grayscale almost. haoirc ut classic of the time - longer and somewhat side swept on top like a schoo lkid. classic vintage style kids suite of the time. hair not as short today on sides but shorter and again logner on top to create his look. he has a tie on also.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | edited
 lad_005_copper.png                     | Imagine describing Nikola Tesla features .ahri - do that herem this is him. dark to medium brown eyes, medium skin tone light skin tone. mustache. get lip coor. ahr style is classic of the time and well done , side swept and polished and shiny and gelled and stylized. he is wearing a n outfit classic of the time also a simple suit and tie. his hair is dark brown mostly but yo ucan obviously see the sheen and reflection for the light on it because its so shiny and also has natural highlights. the background is brown, but the yellow represnts electricity.                                                                                                                                                                                                                                                                                                                                                                                                  | edited
 lad_006_redshift.png                   | Sandy / dirty blonde small mohawk to go with buzzed hair (short mohawk). blue colors are due to editing and shadows and lighting, but those woudl jsut be darker brown etc so adjust for that. deep blue palish medium dark blue eyes. pgimented blue collared shirt. brownish background. light skined iwth some stubble (jewisah male).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | edited
 lad_007_titanium.png                   | wider jaw. Eyes medium brown.  dark dark brown blaksi hcolor with some medium brown and higlights shining off as refelction and sheening, but overall face framing longer hair like an emo dude or gothic trenchcoater (describe this better).. get lip color. stubble on face. light skinned mexican male. medium grey background. black trenchcoat and dark grey t shirt underneath. long bangs framing face on right side. parted over hair.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | edited
 lad_008_platinum.png                   | Wider jaw. Electronix facial implant (bllue on face cheek). dual colored eyes - left is mediu mto light purple, right is medium brown. buzszzed hair o nleft side and long side swept hair dangling on the right. dark dark brown blaksi hcolor with some medium brown and higlights shining off as refelction and sheening. get lip color. stubble on face. light skinned mexican male. multcolored backround light light whitish blue red electric ish bright blue and opale orange. sandy grey color shirt. long bangs framing face on right side. parted over hair.                                                                                                                                                                                                                                                                                                                                                                                                          | edited
 lad_009_steel.png                      | a bit balding but had hair and it is dark and curly and mxed with balck dark brown grey and even a bit of whitish light grey highlights.  silver rimmed glasses. light medium brownish red eyes. some light stubble. medium to light skinned (middel eastern), get lip color. dark blue jacket with white ts hirt uneanrth. more electric blue background (lighter almost sky blue).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | edited
 lad_010_aluminum.png                   | red forward abaseball cap. silver rimmed glasses. light medium brownish red eyes. some light stubble. medium to light skinned (middel eastern), get lip color. oranger jacket with white ts hirt uneanrth. bright blue background (lighter almost sky blue).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | edited
 lad_011_chocolate.png                  | splut background, hald light cremam and half orangeish bright red. medium skinned.ight skined indian male. stubble nad beard o nface. fluffy multicolored beige and brown big coat, on top of a plain balck tee shirt. epic ahir style, very well done and styled, also long on top and short on the sides, somehwat curly nad fluffly nad shiny and has sheen and silky and thick nad curly over and can side sweep. get his lip color. light honey brown eyes .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | edited
 lad_012_chromium.png                   | Imagine Sam Altman  describe him as yo uwould here especially his hair style. -  hiis classic light grey stubble and even light grey skin, and his hair should be described as his haricut it (longer on top, nicely cut and styler, good look and sexy etc). he is wearing a dark golden yellow shirt here with a plain white/light grey and he has deep blue sea like keye color. sexy messy well done cut hair as usual, and the classic grayscale colors for hsi skin and sutbble etc.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | edited
 lad_013_caramel.png                    | multicolored background - blue, white an red. indian male, semi dark skin. blue hjacket and golden yellw shirt. dark brown eyes. black hair, longer and plain and simple like a kid from magic school bus would have or akstaer boy with a little clean up.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | edited
